text,id,screenname,retweetCount,isRetweet
ICYMI: Court rejection leaves Trump travel ban on hold https://t.co/tuSf7BAaJO,8.30E+17,CTVWindsor,0,FALSE
ICYMI: Court rejection leaves Trump travel ban on hold https://t.co/uukNUugEvL,8.30E+17,CJBK,0,FALSE
A look at what comes next in Trump travel banˇcase https://t.co/1k6eeHWIJy https://t.co/ETKLo63Ytr,8.30E+17,7billionworld,0,FALSE
RT @JoyAnnReid: .@CNN is reporting that at least one of the appeals court judges hearing Trump's travel ban case has needed extra security?,8.30E+17,ubnsrvd,5431,TRUE
Please RT? #travel #traveller Where To Stay In Bordeaux https://t.co/8qmT3aYuue https://t.co/pWHpwOhpTP,8.30E+17,WrlTravels,0,FALSE
RT @guardian: ?S?o Paulo makes London seem like a village? https://t.co/Q1eGJ6CRwW,8.30E+17,givemeflow,28,TRUE
RT @goldengateblond: The 9th Circuit voted unanimously against Trump's travel ban. Let's go live to the White House for a reaction.  https:?,8.30E+17,easyishard,3672,TRUE
"RT @CNN: She is the first woman to travel to all 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,eriqomondi,313,TRUE
Incredible Travel Destinations For Autumn - Amazing views https://t.co/ZUveKqrLaX https://t.co/cCMVRKPCPI,8.30E+17,sporrrrrt,0,FALSE
"RT @confrarialider: ""Books gave me the courage to travel. Books gave me the conviction to quit my job. Books gave me role models and h? htt?",8.30E+17,magnotorres,1,TRUE
"RT @MirandaVeron: Here's to wishing that JaDine will travel na sila lang.

But here's to knowing that somehow, that can't be. Lol

#NadineL?",8.30E+17,flowerash,12,TRUE
"RT @CNN: President Trump tweets: ""SEE YOU IN COURT""

WA state AG responds: ""We've seen him in court twice, and we're 2 for 2"" https://t.co/?",8.30E+17,minhaskh,12592,TRUE
RT @DineshDSouza: Trump's lawyers made a tactical blunder in giving no reasons for his travel ban &amp; insisting judges have no power to revie?,8.30E+17,Joepro37yahooc1,93,TRUE
"RT @CNN: She is the first woman to travel to all 196 countries, and the fastest person to do so, in 18 months and 26 days https://t.co/Z4E4?",8.30E+17,asequinedlife,313,TRUE
"RT @Jollyreti: A unique and unrepeatable city. by Jimbos Padr¢s, #travel, #nature https://t.co/RkqPD5ZuDJ",8.30E+17,tsgriffin_scott,10,TRUE
Please RT? #travel #traveller Galeotto fu il libro: Memorie di una Geisha https://t.co/Ump6UkwmVZ,8.30E+17,ysecrettravel_,0,FALSE
RT @Newsweek: Only eight attacks on Trump's terror list implicate countries subject to the travel ban https://t.co/KKr5as7rMP https://t.co/?,8.30E+17,stop_trump_ryan,12,TRUE
"RT @AP: #AP10Things: Travel ban on hold; Trump reaffirms ""one China"" policy with Xi; Tom Price chosen for health secretary. https://t.co/k9?",8.30E+17,Meggie_Morris,30,TRUE
